Timestamp;left_eye_origin.x;left_eye_origin.y;left_eye_origin.z;left_eye_gaze.x;left_eye_gaze.y;left_eye_gaze.z;right_eye_origin.x;right_eye_origin.y;right_eye_origin.z;right_eye_gaze.x;right_eye_gaze.y;right_eye_gaze.z;combined_eye_origin.x;combined_eye_origin.y;combined_eye_origin.z;combined_eye_gaze.x;combined_eye_gaze.y;combined_eye_gaze.z;gaze_distance;Target_position.x;Target_position.y;Target_position.z;Target_rotation.x;Target_rotation.y;Target_rotation.z;Target_rotation.w;Main Camera_position.x;Main Camera_position.y;Main Camera_position.z;Main Camera_rotation.x;Main Camera_rotation.y;Main Camera_rotation.z;Main Camera_rotation.w;messages
41.42366;-0.02983041;0.001842331;-0.02583577;0.2388916;0.08889771;0.9669647;0.03256273;0.003559219;-0.0260285;0.2103119;0.08486938;0.973938;0.001189972;0.002695923;-0.0259316;0.2247162;0.08691406;0.9705353;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2547996;1.283951;3.727156;0.0384231;0.005519947;-0.01158222;0.9991792;
41.43533;-0.02983041;0.001842957;-0.02583577;0.2392426;0.08880615;0.9668732;0.0325629;0.003563232;-0.02602912;0.2112885;0.08424377;0.9737701;0.001040634;0.002694122;-0.02593144;0.2254333;0.08656311;0.9703979;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2548029;1.283966;3.72717;0.03840052;0.005494267;-0.01177709;0.9991779;
41.4473;-0.02983026;0.001843903;-0.02583577;0.2400818;0.088974;0.9666595;0.03256401;0.003564987;-0.02603237;0.2126923;0.08537292;0.9733734;0.0008504639;0.002690201;-0.02593243;0.2266235;0.08720398;0.9700623;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2547925;1.283984;3.727165;0.0383261;0.005461618;-0.01188276;0.9991797;
41.45878;-0.02983041;0.001844391;-0.02583577;0.2415161;0.08917236;0.9662781;0.03256847;0.003566467;-0.02603365;0.2118378;0.08451843;0.9736328;0.0008556061;0.002691269;-0.02593308;0.226944;0.0868988;0.9700165;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2546819;1.284017;3.727121;0.03830792;0.00538902;-0.01204833;0.9991788;
41.46997;-0.02983106;0.001851975;-0.02583275;0.2416687;0.08743286;0.9664001;0.03257277;0.003570496;-0.02603365;0.2115784;0.08305359;0.9738159;0.001018509;0.002701538;-0.02593207;0.2268219;0.08528137;0.9701843;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2546697;1.284019;3.727109;0.03824661;0.005367879;-0.01206951;0.9991812;
41.48199;-0.02983116;0.001854706;-0.02583229;0.2415924;0.08692932;0.9664612;0.03257417;0.003571274;-0.02603365;0.2122498;0.08416748;0.9735718;0.001152008;0.002706955;-0.02593225;0.2270508;0.08557129;0.970108;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.254636;1.28404;3.727095;0.03814613;0.005309666;-0.01208985;0.999185;
41.4937;-0.02983116;0.001856583;-0.02582753;0.2415924;0.08630371;0.9665222;0.03257756;0.003573441;-0.02603365;0.2116089;0.08369446;0.9737549;0.001242539;0.002711426;-0.02593015;0.2266846;0.08500671;0.9702454;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2545952;1.284051;3.727088;0.03808071;0.005195726;-0.01225647;0.999186;
41.50542;-0.02983179;0.00185965;-0.02582399;0.2415009;0.08534241;0.966629;0.03257756;0.003578415;-0.02603365;0.213089;0.08320618;0.973465;0.001753571;0.002729508;-0.0259301;0.2271423;0.08427429;0.9701996;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2545915;1.284057;3.72712;0.03794089;0.005043883;-0.01228095;0.9991919;
41.51805;-0.02983226;0.001860199;-0.02582369;0.2415924;0.0852356;0.9666138;0.03257793;0.003580643;-0.02603365;0.2134399;0.08383179;0.9733429;0.001940415;0.002736069;-0.02593057;0.2272949;0.08451843;0.9701385;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2545124;1.284047;3.727176;0.03793671;0.004885757;-0.01229506;0.9991926;
41.52975;-0.02983766;0.00186171;-0.0258188;0.242691;0.08496094;0.9663696;0.03257802;0.003589279;-0.02603273;0.2139435;0.08602905;0.9730377;0.002017609;0.002743408;-0.02592798;0.2280426;0.08551025;0.9698792;0;0.8590723;1.295322;6.197625;0;0.9200426;0;-0.3918184;0.2544835;1.284094;3.727206;0.03795443;0.004781248;-0.01240413;0.9991911;
